tile_id,sheet,row,col,x,y,w,h,cv_label,cv_tags,coverage,bbox,thumbnail
general_00_00,general,0,0,0,0,16,16,selection frame / square outline,general;sparse,0.094,"1,1,15,15",thumbs/general_00_00.png
general_00_01,general,0,1,16,0,16,16,single floor dot,general;sparse,0.016,"7,10,9,12",thumbs/general_00_01.png
general_00_02,general,0,2,32,0,16,16,ruined tower / building,general;medium;diagonal;edge-touching;centered,0.445,"0,1,15,16",thumbs/general_00_02.png
general_00_03,general,0,3,48,0,16,16,city skyline,general;medium;diagonal;edge-touching;centered,0.469,"2,1,16,16",thumbs/general_00_03.png
general_00_04,general,0,4,64,0,16,16,arched doorway,general;dense;diagonal;edge-touching;centered;door,0.656,"0,0,16,15",thumbs/general_00_04.png
general_00_05,general,0,5,80,0,16,16,arched opening,general;sparse;edge-touching,0.188,"0,0,16,15",thumbs/general_00_05.png
general_00_06,general,0,6,96,0,16,16,barred gate / portcullis,general;medium;diagonal;edge-touching;centered,0.492,"0,0,16,15",thumbs/general_00_06.png
general_00_07,general,0,7,112,0,16,16,arched doorway variant,general;dense;diagonal;edge-touching;centered;door,0.602,"0,1,16,15",thumbs/general_00_07.png
general_00_08,general,0,8,128,0,16,16,large arch opening,general;sparse;edge-touching,0.133,"0,1,16,15",thumbs/general_00_08.png
general_00_09,general,0,9,144,0,16,16,barred gate variant,general;medium;edge-touching;centered,0.438,"0,1,16,15",thumbs/general_00_09.png
general_00_10,general,0,10,160,0,16,16,tombstone / shrine,general;medium;diagonal;edge-touching;centered,0.422,"0,0,16,15",thumbs/general_00_10.png
general_00_11,general,0,11,176,0,16,16,closed hatch / X marker,general;medium;diagonal;centered,0.375,"1,1,15,15",thumbs/general_00_11.png
general_00_12,general,0,12,192,0,16,16,temple / facade,general;medium;diagonal;edge-touching;centered,0.527,"0,0,16,16",thumbs/general_00_12.png
general_00_13,general,0,13,208,0,16,16,floor grate / puddle,general;sparse,0.164,"1,9,15,15",thumbs/general_00_13.png
general_00_14,general,0,14,224,0,16,16,altar / small shrine,general;sparse,0.199,"1,3,14,15",thumbs/general_00_14.png
general_00_15,general,0,15,240,0,16,16,table / bench,general;medium;centered,0.293,"1,1,15,15",thumbs/general_00_15.png
general_00_16,general,0,16,256,0,16,16,table / bench variant,general;sparse,0.25,"1,7,15,15",thumbs/general_00_16.png
general_00_17,general,0,17,272,0,16,16,barred alcove,general;sparse;diagonal,0.273,"2,1,15,15",thumbs/general_00_17.png
general_00_18,general,0,18,288,0,16,16,bed / cot,general;sparse;diagonal;centered,0.227,"3,1,13,15",thumbs/general_00_18.png
general_00_19,general,0,19,304,0,16,16,small shelter / tent,general;medium;diagonal;centered,0.285,"2,1,14,15",thumbs/general_00_19.png
general_00_20,general,0,20,320,0,16,16,crenellated wall segment,general;sparse;centered;wall,0.18,"1,8,15,15",thumbs/general_00_20.png
general_00_21,general,0,21,336,0,16,16,scroll / wall plaque,general;medium;diagonal;edge-touching;centered;wall,0.359,"3,0,14,16",thumbs/general_00_21.png
general_00_22,general,0,22,352,0,16,16,standing sign / notice,general;medium;diagonal;centered,0.375,"2,2,14,15",thumbs/general_00_22.png
general_00_23,general,0,23,368,0,16,16,barrel / jar,general;medium;diagonal;centered,0.32,"3,2,13,15",thumbs/general_00_23.png
general_00_24,general,0,24,384,0,16,16,hanging cocoon / sack,general;sparse;diagonal;centered,0.273,"3,0,13,16",thumbs/general_00_24.png
general_00_25,general,0,25,400,0,16,16,hanging cocoon / sack variant,general;sparse,0.148,"3,0,13,16",thumbs/general_00_25.png
general_00_26,general,0,26,416,0,16,16,chest,general;medium;diagonal;centered;chest,0.344,"2,6,15,15",thumbs/general_00_26.png
general_00_27,general,0,27,432,0,16,16,open chest,general;medium;diagonal;centered;chest,0.348,"2,2,15,15",thumbs/general_00_27.png
general_00_28,general,0,28,448,0,16,16,crate / box,general;sparse;diagonal;centered,0.234,"1,7,14,15",thumbs/general_00_28.png
general_00_29,general,0,29,464,0,16,16,small crate / drawer,general;sparse,0.211,"2,7,15,15",thumbs/general_00_29.png
general_00_30,general,0,30,480,0,16,16,wooden door / gate,general;medium;diagonal;centered;door,0.453,"1,1,15,15",thumbs/general_00_30.png
general_00_31,general,0,31,496,0,16,16,double door / barred gate,general;medium;diagonal;door,0.398,"2,1,16,15",thumbs/general_00_31.png
general_01_00,general,1,0,0,16,16,16,floor rubble,general;sparse,0.059,"2,9,15,14",thumbs/general_01_00.png
general_01_01,general,1,1,16,16,16,16,spiky bush / thicket,general;sparse;diagonal;centered,0.254,"2,4,14,15",thumbs/general_01_01.png
general_01_02,general,1,2,32,16,16,16,round bush / tree top,general;medium;diagonal;centered,0.43,"1,1,14,15",thumbs/general_01_02.png
general_01_03,general,1,3,48,16,16,16,flower / plant patch,general;sparse;centered;plant,0.188,"1,2,15,15",thumbs/general_01_03.png
general_01_04,general,1,4,64,16,16,16,wooden fence,general;medium;diagonal;edge-touching;centered,0.531,"0,2,16,14",thumbs/general_01_04.png
general_01_05,general,1,5,80,16,16,16,ladder / planks,general;medium;diagonal;edge-touching;centered,0.531,"2,0,14,16",thumbs/general_01_05.png
general_01_06,general,1,6,96,16,16,16,wagon wheel / round mechanism,general;medium;diagonal;centered,0.316,"1,1,15,15",thumbs/general_01_06.png
general_01_07,general,1,7,112,16,16,16,thorny bush / dense shrub,general;medium;diagonal;edge-touching;centered,0.438,"0,0,16,16",thumbs/general_01_07.png
general_01_08,general,1,8,128,16,16,16,large chest / table,general;sparse;chest,0.227,"2,0,15,15",thumbs/general_01_08.png
general_01_09,general,1,9,144,16,16,16,chest / table variant,general;sparse;centered;chest,0.266,"2,0,15,15",thumbs/general_01_09.png
general_01_10,general,1,10,160,16,16,16,bookshelf / cabinet,general;medium;diagonal;centered;book,0.32,"1,5,16,15",thumbs/general_01_10.png
general_01_11,general,1,11,176,16,16,16,closed door,general;medium;diagonal;centered;door,0.48,"2,1,15,15",thumbs/general_01_11.png
general_01_12,general,1,12,192,16,16,16,door opening,general;medium;door,0.355,"2,1,15,15",thumbs/general_01_12.png
general_01_13,general,1,13,208,16,16,16,well / pile of stones,general;sparse;diagonal;centered,0.25,"1,2,15,15",thumbs/general_01_13.png
general_01_14,general,1,14,224,16,16,16,small stairs / triangular marker,general;sparse,0.145,"4,1,14,15",thumbs/general_01_14.png
general_01_15,general,1,15,240,16,16,16,down stairs / funnel,general;sparse;centered,0.141,"4,4,12,15",thumbs/general_01_15.png
